Publisher,IATI Organisation Identifier,Organization Type,HQ Country or Region,Datasets Count,Datasets Link
Australia - Department of  Foreign Affairs and Trade,AU-5,Government,Australia,5,https://iatiregistry.org/publisher/ausgov
The World Bank,44000,Multilateral,(No country assigned),147,https://iatiregistry.org/publisher/worldbank
The William and Flora Hewlett Foundation,US-EIN-941655673,Foundation,United States,2,https://iatiregistry.org/publisher/hewlett-foundation
United Nations Office for Project Services (UNOPS),41AAA,Multilateral,(No country assigned),177,https://iatiregistry.org/publisher/unops
Frontline AIDS,GB-CHC-1038860,International NGO,United Kingdom,3,https://iatiregistry.org/publisher/f-aids
European Commission - International Partnerships,XI-IATI-EC_INTPA,Other Public Sector,(No country assigned),160,https://iatiregistry.org/publisher/ec-intpa
"Sweden, through Swedish International Development Cooperation Agency (Sida)",SE-0,Government,Sweden,55,https://iatiregistry.org/publisher/sida
Engineers Without Borders Canada,CA-CRA-89980-1815-RR0001,International NGO,Canada,2,https://iatiregistry.org/publisher/ewb_canada
United Nations Development Programme (UNDP),XM-DAC-41114,Multilateral,(No country assigned),151,https://iatiregistry.org/publisher/undp
Indigo Trust,GB-CHC-1075920,Foundation,United Kingdom,2,https://iatiregistry.org/publisher/indtrust
Oxfam GB,GB-CHC-202918,International NGO,United Kingdom,84,https://iatiregistry.org/publisher/oxfamgb
Finland - Ministry for Foreign Affairs,FI-3,Government,Finland,158,https://iatiregistry.org/publisher/finland_mfa
Self Help Africa,IE-CHY-6663,International NGO,Ireland,2,https://iatiregistry.org/publisher/self-help-africa
"The Global Fund to Fight AIDS, Tuberculosis and Malaria",47045,Multilateral,Switzerland,143,https://iatiregistry.org/publisher/theglobalfund
Asian Development Bank,XM-DAC-46004,Multilateral,(No country assigned),41,https://iatiregistry.org/publisher/asdb
Publish What You Fund,GB-COH-07676886,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/pwyf
Norwegian Refugee Council,NO-BRC-977538319,International NGO,Norway,8,https://iatiregistry.org/publisher/nrc
